"emp_no","dept_no","dept_name","last_name","first_name","from_date","to_date"
110022,"d001","Marketing","Markovitch","Margareta","1985-01-01","1991-10-01"
110039,"d001","Marketing","Minakawa","Vishwani","1991-10-01","9999-01-01"
110085,"d002","Finance","Alpin","Ebru","1985-01-01","1989-12-17"
110114,"d002","Finance","Legleitner","Isamu","1989-12-17","9999-01-01"
110183,"d003","Human Resources","Ossenbruggen","Shirish","1985-01-01","1992-03-21"
110228,"d003","Human Resources","Sigstam","Karsten","1992-03-21","9999-01-01"
110303,"d004","Production","Wegerle","Krassimir","1985-01-01","1988-09-09"
110344,"d004","Production","Cools","Rosine","1988-09-09","1992-08-02"
110386,"d004","Production","Kieras","Shem","1992-08-02","1996-08-30"
110420,"d004","Production","Ghazalie","Oscar","1996-08-30","9999-01-01"
110511,"d005","Development","Hagimont","DeForest","1985-01-01","1992-04-25"
110567,"d005","Development","DasSarma","Leon","1992-04-25","9999-01-01"
110725,"d006","Quality Management","Onuegbe","Peternela","1985-01-01","1989-05-06"
110765,"d006","Quality Management","Hofmeyr","Rutger","1989-05-06","1991-09-12"
110800,"d006","Quality Management","Quadeer","Sanjoy","1991-09-12","1994-06-28"
110854,"d006","Quality Management","Pesch","Dung","1994-06-28","9999-01-01"
111035,"d007","Sales","Kaelbling","Przemyslawa","1985-01-01","1991-03-07"
111133,"d007","Sales","Zhang","Hauke","1991-03-07","9999-01-01"
111400,"d008","Research","Staelin","Arie","1985-01-01","1991-04-08"
111534,"d008","Research","Kambil","Hilary","1991-04-08","9999-01-01"
111692,"d009","Customer Service","Butterworth","Tonny","1985-01-01","1988-10-17"
111784,"d009","Customer Service","Giarratana","Marjo","1988-10-17","1992-09-08"
111877,"d009","Customer Service","Spinelli","Xiaobin","1992-09-08","1996-01-03"
111939,"d009","Customer Service","Weedman","Yuchang","1996-01-03","9999-01-01"
