"emp_no","birth_date","first_name","last_name","gender","hire_date","year_hire","dept_no","emp_no-2","from_date","to_date","dept_no-2","dept_name"
110022,"1956-09-12","Margareta","Markovitch","M","1985-01-01","1985","d001",110022,"1985-01-01","1991-10-01","d001","Marketing"
110039,"1963-06-21","Vishwani","Minakawa","M","1986-04-12","1986","d001",110039,"1991-10-01","9999-01-01","d001","Marketing"
110085,"1959-10-28","Ebru","Alpin","M","1985-01-01","1985","d002",110085,"1985-01-01","1989-12-17","d002","Finance"
110114,"1957-03-28","Isamu","Legleitner","F","1985-01-14","1985","d002",110114,"1989-12-17","9999-01-01","d002","Finance"
110183,"1953-06-24","Shirish","Ossenbruggen","F","1985-01-01","1985","d003",110183,"1985-01-01","1992-03-21","d003","Human Resources"
110228,"1958-12-02","Karsten","Sigstam","F","1985-08-04","1985","d003",110228,"1992-03-21","9999-01-01","d003","Human Resources"
110303,"1956-06-08","Krassimir","Wegerle","F","1985-01-01","1985","d004",110303,"1985-01-01","1988-09-09","d004","Production"
110344,"1961-09-07","Rosine","Cools","F","1985-11-22","1985","d004",110344,"1988-09-09","1992-08-02","d004","Production"
110386,"1953-10-04","Shem","Kieras","M","1988-10-14","1988","d004",110386,"1992-08-02","1996-08-30","d004","Production"
110420,"1963-07-27","Oscar","Ghazalie","M","1992-02-05","1992","d004",110420,"1996-08-30","9999-01-01","d004","Production"
110511,"1957-07-08","DeForest","Hagimont","M","1985-01-01","1985","d005",110511,"1985-01-01","1992-04-25","d005","Development"
110567,"1964-04-25","Leon","DasSarma","F","1986-10-21","1986","d005",110567,"1992-04-25","9999-01-01","d005","Development"
110725,"1961-03-14","Peternela","Onuegbe","F","1985-01-01","1985","d006",110725,"1985-01-01","1989-05-06","d006","Quality Management"
110765,"1954-05-22","Rutger","Hofmeyr","F","1989-01-07","1989","d006",110765,"1989-05-06","1991-09-12","d006","Quality Management"
110800,"1963-02-07","Sanjoy","Quadeer","F","1986-08-12","1986","d006",110800,"1991-09-12","1994-06-28","d006","Quality Management"
110854,"1960-08-19","Dung","Pesch","M","1989-06-09","1989","d006",110854,"1994-06-28","9999-01-01","d006","Quality Management"
111035,"1962-02-24","Przemyslawa","Kaelbling","M","1985-01-01","1985","d007",111035,"1985-01-01","1991-03-07","d007","Sales"
111133,"1955-03-16","Hauke","Zhang","M","1986-12-30","1986","d007",111133,"1991-03-07","9999-01-01","d007","Sales"
111400,"1959-11-09","Arie","Staelin","M","1985-01-01","1985","d008",111400,"1985-01-01","1991-04-08","d008","Research"
111534,"1952-06-27","Hilary","Kambil","F","1988-01-31","1988","d008",111534,"1991-04-08","9999-01-01","d008","Research"
111692,"1954-10-05","Tonny","Butterworth","F","1985-01-01","1985","d009",111692,"1985-01-01","1988-10-17","d009","Customer Service"
111784,"1956-06-14","Marjo","Giarratana","F","1988-02-12","1988","d009",111784,"1988-10-17","1992-09-08","d009","Customer Service"
111877,"1962-10-18","Xiaobin","Spinelli","F","1991-08-17","1991","d009",111877,"1992-09-08","1996-01-03","d009","Customer Service"
111939,"1960-03-25","Yuchang","Weedman","M","1989-07-10","1989","d009",111939,"1996-01-03","9999-01-01","d009","Customer Service"
